artist_name,current_user
A.R. Rahman,1.7194569999196307
Ajay-Atul,0.8562241956840724
Akhil Sachdeva,0.8282169300290401
Ami Mishra,0.8559338894514792
Amit Trivedi,0.8284477820359067
Ankit Tiwari,0.8545557973310531
Anu Malik,1.7174928665183966
Ariana Grande,0.8653323692520252
Arijit Singh,2.578579155907464
Armaan Malik,0.827992680542691
Atif Aslam,0.860585074517757
Ayushmann Khurrana,0.8598265475483508
Britney Spears,0.7018613267444711
Charlie Puth,1.4046266063897375
Dua Lipa,0.8666001461770106
Flo Rida,0.7031360276448972
Jawad Ahmad,0.8548152213329732
Jeet Gannguli,0.8611978892453178
Jubin Nautiyal,0.8633162535948706
Justin Timberlake,0.7024309687954943
KK,0.8592957317777253
Kailash Kher,2.5400496260668035
Katy Perry,1.403588969365611
Madhur Sharma,1.6817516691835208
Maroon 5,0.8658779173013544
Meet Bros.,0.8595836149525987
Meghan Trainor,0.7025957386989975
Mithoon,0.8532498060273751
Mohit Chauhan,0.8636302023067786
Pritam,5.992216291678638
Ritviz,0.8603214048800027
Rochak Kohli,0.8617376150270505
Salimâ€“Sulaiman,1.7187194846704625
Sean Paul,0.7015440798971414
Shruti Pathak,0.8627326041697977
Sia,0.8661295574469416
Sonu Nigam,1.7188365390140863
Taylor Swift,0.8651094237063941
The Chainsmokers,0.8656126230442186
Vishal-Shekhar,1.7200503916401446
Yo Yo Honey Singh,0.8601416315477057
Zedd,0.7020562020421385
